Name	Value	Access	
CANFD.RTPAR[37]	0x0000'0000	ReadWrite	
CANFD.RTPAR[38]	0x0000'0000	ReadWrite	
CANFD.RTPAR[39]	0x0000'0000	ReadWrite	
CANFD.RTPAR[40]	0x0000'0000	ReadWrite	
CANFD.RTPAR[41]	0x0000'0000	ReadWrite	
CANFD.RTPAR[42]	0x0000'0000	ReadWrite	
CANFD.RTPAR[43]	0x0000'0000	ReadWrite	
CANFD.RTPAR[44]	0x0000'0000	ReadWrite	
CANFD.RTPAR[45]	0x0000'0000	ReadWrite	
CANFD.RTPAR[46]	0x0000'0000	ReadWrite	
CANFD.RTPAR[47]	0x0000'0000	ReadWrite	
CANFD.RTPAR[48]	0x0000'0000	ReadWrite	
CANFD.RTPAR[49]	0x0000'0000	ReadWrite	
CANFD.RTPAR[50]	0x0000'0000	ReadWrite	
CANFD.RTPAR[51]	0x0000'0000	ReadWrite	
CANFD.RTPAR[52]	0x0000'0000	ReadWrite	
CANFD.RTPAR[53]	0x0000'0000	ReadWrite	
CANFD.RTPAR[54]	0x0000'0000	ReadWrite	
CANFD.RTPAR[55]	0x0000'0000	ReadWrite	
CANFD.RTPAR[56]	0x0000'0000	ReadWrite	
CANFD.RTPAR[57]	0x0000'0000	ReadWrite	
CANFD.RTPAR[58]	0x0000'0000	ReadWrite	
CANFD.RTPAR[59]	0x0000'0000	ReadWrite	
CANFD.RTPAR[60]	0x0000'0000	ReadWrite	
CANFD.RTPAR[61]	0x0000'0000	ReadWrite	
CANFD.RTPAR[62]	0x0000'0000	ReadWrite	
CANFD.RTPAR[63]	0x0000'0000	ReadWrite	
CANFD.RFB[0]_HF0	0x0000'0002	ReadWrite	
CANFD.RFB[0]_HF1	0x0028'2102	ReadWrite	
CANFD.RFB[0]_HF2	0xa428'208a	ReadWrite	
CANFD.RFB[0]_DF[0]	0x0000'2002	ReadWrite	
CANFD.RFB[0]_DF[1]	0x0000'2000	ReadWrite	
CANFD.RFB[0]_DF[2]	0x0000'2002	ReadWrite	
CANFD.RFB[0]_DF[3]	0xa028'208e	ReadWrite	
